seller_id,seller_zip_code_prefix,seller_city,seller_state
4be2e7f96b4fd749d52dff41f80e39dd,69900,rio branco,AC
327b89b872c14d1c0be7235ef4871685,69005,manaus,AM
1444c08e64d55fb3c25f0f09c07ffcf2,42738,lauro de freitas,BA
2b402d5dc42554061f8ea98d1916f148,44900,irece,BA
398cb257329ef7af7f1943a8974a3cbc,40285,salvador,BA
4221a7df464f1fe2955934e30ff3a5a1,48602,bahia,BA
43753b27d77860f1654aa72e251a7878,44895,barro alto,BA
4aba391bc3b88717ce08eb11e44937b2,45816,arraial d'ajuda (porto seguro),BA
4fb41dff7c50136976d1a5cf004a42e2,44002,feira de santana,BA
21c62b998a043ebe31161d38f84929fc,60110,fortaleza,CE
299c89a525fee36c567f4fe72f038100,63540,varzea alegre,CE
38102b031c2a15e54623d711bfc753d3,62170,mucambo,CE
3da38366e7bd9baf6369071f782ecdf0,60346,fortaleza,CE
191d55f7edb8524d525ed01b20fe32e8,73020,brasilia,DF
2493dc3f20131696a0ecdb9948051a8d,71065,brasilia,DF
293dee954235e4e4e43f129313625ebe,72125,brasilia,DF
2a50b7ee5aebecc6fd0ff9784a4747d6,72580,brasilia,DF
2addf05f476d0637864454e93ba673d5,70856,brasilia,DF
3c487ae8f8d7542beff5788e2e0aea83,72460,gama,DF
4170f6a9367e6b5d6401d03ce6d54569,71906,brasilia df,DF
42bde9fef835393bb8a8849cb6b7f245,71551,brasilia,DF
432c37c9dfba871172ec162e20118b8c,70235,brasilia,DF
43b2c864251aa0ce4030c746984e088a,71936,brasilia,DF
44073f8b7e41514de3b7815dd0237f4f,71070,brasilia,DF
4a1917ef994878940e1fb03eeb787ad7,70610,brasilia,DF
001cca7ae9ae17fb1caed9dfb1094831,29156,cariacica,ES
15aac934c58d886785ac1b17953ea898,29480,muqui,ES
2c9005d8043aff18b8557ffb7b13cda4,29304,cachoeiro de itapemirim,ES
2f4b9d112bfa44a214bc6cef085d17c8,29600,afonso claudio,ES
2f73e04d12cdf0c945ded66bb3fcf6c7,29313,cachoeiro de itapemirim,ES
31eec405c9bb71dec8e2629a92e764fa,29300,cachoeiro de itapemirim,ES
33dd941c27854f7625b968cc6195a552,29107,vila velha,ES
406740ee611378a662d274c7d8c43c4a,29056,vitoria,ES
41da412d33e8da4f22baf55cb1bde82c,29260,domingos martins,ES
51209b446b2073894bdc0face6c73ffc,29104,vila velha,ES
003554e2dce176b5555353e4f3555ac8,74565,goiania,GO
01bcc9d254a0143f0ce9791b960b2a47,76400,uruacu,GO
05a940b4ecae36cadfd8e93bd9c43257,74305,goiania,GO
0daf5180aa44356f60f8effa533b55a2,74043,goiania,GO
0ec28cec4046a4a199b6de9b4c891d97,74110,goiania,GO
13d95f0f6f73943d4ceffad0fc2cd32c,74473,goiania,GO
17908cf9b444ee34047cadd5c0f4a516,75124,anapolis,GO
2d42ebcda99fd55f6f4bc2f1ca035d50,76400,uruacu,GO
31e60bf8d103ce47932a85f5562deb16,74590,goiania,GO
376a891762bbdecbc02b4b6adec3fdda,74323,goiania,GO
39c763cca83e654764b7a4a650fb9b7c,74563,goiania,GO
39f776d2974049026ff531fc42ef2a3e,74835,goiania,GO
3aa3c89ae3cd482385568be76120f63c,74343,goiania,GO
42d4b7e70819438f5ada61c965e92d7e,74045,goiania,GO
06a2c3af7b3aee5d69171b0e14f0ee87,65072,sao luis,MA
00d8b143d12632bad99c0ad66ad52825,30170,belo horizonte,MG
014c0679dd340a0e338872e7ec85666a,35180,timoteo,MG
028872bfa080090a9d0abd4f1af168f8,33940,ribeirao das neves,MG
02dcd3e8e25bee036e32512bcf175493,32310,contagem,MG
03bd479e1d9484cdb14104d3023f7321,38401,uberlandia,MG
0509040ea3fe50071181bbc359eb7738,31710,belo horizonte,MG
05d2173d43ea568aa0540eba70d2ca76,37135,alfenas,MG
05f51e13da97139648b8125c31e5f51b,31910,belo horizonte,MG
06bb3a2fe5e7b7a845b13e8fb91bd944,31844,belo horizonte,MG
0791d9fc1e30678ecf03d3e55fa108d3,30775,belo horizonte,MG
080102cd0a76b09e0dcf55fcacc60e05,31140,belo horizonte,MG
081acf3de680d554796c9cf041be7bc2,33200,vespasiano,MG
08cdbae123ff67ca4e36d9d641ce0119,36504,uba,MG
08d1c9478fb0d7d7fcac9c0da4e82fc7,31110,belo horizonte,MG
0a198e95d32b1be2da9424c962a6ebfa,32260,contagem,MG
0aa124728afc1131dff5655f4c6f487b,37135,alfenas,MG
0afccdb8a34ee5c79f7c06faf2b4d56e,38400,uberlandia,MG
0b46f784306be7200ca1700aa55d819f,31210,belo horizonte,MG
0c8380b62e38e8a1e6adbeba7eb9688c,37410,tres coracoes,MG
0cbcee27c791afa0cdcb08587a2013a8,37410,tres coracoes,MG
0d85bbda9889ce1f7e63778d24f346eb,38414,uberlandia,MG
0df3984f9dfb3d49ac6366acbd3bbb85,32604,betim,MG
0ea22c1cfbdc755f86b9b54b39c16043,35700,sete lagoas,MG
0ebd97a106433a45a4aebe57c1799778,32240,contagem,MG
10cdd491d1dbea8fb4ead97b19c334ce,37540,santa rita do sapucai,MG
11305281b50fff20ae8bb473f8e11876,36500,uba,MG
1554a68530182680ad5c8b042c3ab563,37580,monte siao,MG
15cd6eefe58588619aaed41dfa6621b1,35400,ouro preto,MG
15ead3a5037a918ddb520dfe39a3d2b9,36401,conselheiro lafaiete,MG
1703bc09972dab9782e7a9194943b69f,37165,minas gerais,MG
17998cf586426bf0f2c3726cb0a4b211,30710,belo horizonte,MG
17ca9b9e9b9ef8fdb529001b49ebb50f,32677,betim,MG
1838dd9b8977065acf51d95e0053ea7a,30882,belo horizonte,MG
1987cd4be10fe09ee50454f9c354d1c6,37570,ouro fino,MG
198c7ea11960a9844b544d9bcdca860c,37590,jacutinga,MG
1c742ac33582852aaf3bcfbf5893abcf,30668,belo horizonte,MG
1ca4bdb0cd7fc48e949bac066188ed26,36773,cataguases,MG
1cbdc7cf130a41fd13a3c2a7d2fcfda7,37480,lambari,MG
1d29dfba02015238dfbe2449a5eaa361,36576,vicosa,MG
1d953075c2f0dd990bacf27b83b330f1,30421,belo horizonte,MG
1da366cade6d8276e7d8beea7af5d4bf,36500,uba,MG
204b4e07bddef3c9b317f70189135b22,37564,borda da mata,MG
20d53aad4fe5ee93a64f8839609d3586,37540,santa rita do sapucai,MG
213fafb0ca06fb3d5886579c2565791b,35700,sete lagoas,MG
21e83881401b92b49fb09a16d3852291,38405,uberlandia,MG
229c3efbfb0ea2058de4ccdfbc3d784a,30190,belo horizonte,MG
22a23e5ac7061fc538cc2a019afaaf16,30310,belo horizonte,MG
23ff42c4bf1f8f16cddb19d8b972974a,37975,itau de minas,MG
25c5c91f63607446a97b143d2d535d31,35680,itauna,MG
276677b5d08786d5dce7c2149dcce48b,31730,belo horizonte,MG
282f23a9769b2690c5dda22e316f9941,31573,belo horizonte,MG
28a26ebce31d5918b181ede016fd693b,31950,belo horizonte,MG
29e6e05b65f93bc224c644319dc52ecf,36010,juiz de fora,MG
2a1348e9addc1af5aaa619b1a3679d6b,30494,belo horizonte,MG
2a5b78b41cd05baeac8df54c6606b92c,35570,formiga,MG
2a84855fd20af891be03bc5924d2b453,30111,belo horizonte,MG
2b1a40c1daabc6ca280c4b815c101841,35500,divinopolis,MG
2b2fed75b8e5ea3a052fc4c0825da485,36015,juiz de fora,MG
2bd05d410a8fd26dc4184a15f4f2f588,31130,belo horizonte,MG
2c00c85d30361cd2ced2969cffbbffa3,31160,belo horizonte,MG
2c43fb513632d29b3b58df74816f1b06,30421,belo horizonte,MG
2c538755f1ca9540af144f266e70df6c,39801,castro pires,MG
2cb6eb1b7185064167657fa09f541105,34710,sabara,MG
2e3be8a987a30d7544dbbda6861cc14e,30620,belo horizonte,MG
31344c16881c08a8a72c6d2eb29918c1,36500,uba,MG
32fdd5d44ecb43dfd6a24b9369eca144,35557,carmo do cajuru,MG
34d1ca11b242c0fee2c834ae8d788566,36415,congonhas,MG
3a490ba60afa30ece0e7d50cfe74a4f0,31365,belo horizonte,MG
3afc536624bc2e65bddfb5db33cc01f3,30150,belo horizonte,MG
3d2531eccfbde1d7c8db7a3a12fb267a,31340,contagem,MG
3d49bfdd1b43a7fe169b3740067acc61,39400,montes claros,MG
3db66a856d18a9cba7c9241fc5221c50,35430,ponte nova,MG
3ded4e2d5f135cb103e5949d7263d2dd,37550,pouso alegre,MG
3ea08c48e851106d2f584349daba335f,36201,barbacena,MG
3fe7120d6257285ac6a3ce7cb071ccec,35044,governador valadares,MG
402916f742e5c740cc751493d9cf5053,39740,guanhaes,MG
403aa86912527d730337ffcb0fb096ab,30220,belo horizonte,MG
4049512728d969bec69f84088b012416,30310,belo horizonte,MG
404e1ba01358af4cd63f679b2c4d1fa1,36032,juiz de fora,MG
41ab63a91b8b264e8c8780368bf1dd5b,31555,belo horizonte,MG
41c9d3997dd3c072c31139dc5bb5761f,38182,araxa,MG
4305fe92735c8a43d154ff6dd2b8d927,35170,coronel fabriciano,MG
43a5d4a57af536fddc96d08be3afdfcb,37006,varginha,MG
46ef1a25845fc051c2998d878354810c,35530,claudio,MG
478bfe564db21eeb44386606aa30b650,33600,pedro leopoldo,MG
47f55702f598c7c6cc8458b0fbc1c49a,36213,dores de campos,MG
48e5ee06fb2dc74df1c711a9b6dfac2a,35540,oliveira,MG
49067458c68f7701fd334ce326accbe0,36050,juiz de fora,MG
49e7217cfe4e427191c378ec626d8737,35570,formiga,MG
4a82c4af97ffc0fb2dc26bfdc03b1842,35590,lagoa da prata,MG
4be9ae93c4fc0f41713d71a4194ee1b3,35500,divinopolis,MG
4d0041cdbe51b4617d95c70b19decc74,36052,juiz de fora,MG
4d232b78ab7ef10393dc3807d827bc0d,30120,belo horizonte,MG
4d6fb82c629c7a5028bfd973c07b05e0,31525,belo horizonte,MG
4e06067cc08b3f41d837768d392c3ee3,32604,betim,MG
4e2627090e6e5b9fabba883a37897683,31565,belo horizonte,MG
4e480be820e37de1444325ff358c9296,37410,tres coracoes,MG
4f1f1c8666cdb6442f775c4e8caed465,30240,belo horizonte,MG
5075aaa8404020ae6aa8bf4792099b41,37706,pocos de caldas,MG
50c9975695009e5e6473912e83a6d1da,35530,claudio,MG
5194c22ed1f616ec0c0f33c571542879,37540,santa rita do sapucai,MG
51e0557bc7b86de13e946c60ee91ce39,31510,belo horizonte,MG
515d781150feed28a6ac091bb0e3cb8c,79090,campo grande,MS
1e9d5a33694bddb76316fd1f54734d20,78820,jaciara,MT
2dee2ce60de9709b1a24083217181a1f,78552,sinop,MT
07017df32dc5f2f1d2801e579548d620,58030,joao pessoa,PB
24c1de8d9551c0b4fbc53317d53efda8,58385,serra redonda,PB
1d0997ff06b524ce9289ffd75114ecd3,52020,recife,PE
40db9e9aa57f7bb151bcda6b0f9bdbb7,52010,recife,PE
47efca563408aae19bb7206c2d969ea9,64033,teresina,PI
00fc707aaaad2d31347cf883cd2dfe10,87025,maringa,PR
01266d4c46afa519678d16a8b683d325,80250,curitiba,PR
013900e863eace745d3ec7614cab5b1a,80740,curitiba,PR
014d9a685fd57276679edd00e07089e5,87015,maringa,PR
01cf7e3d21494c41fb86034f2e714fa1,85603,francisco beltrao,PR
01fdefa7697d26ad920e9e0346d4bd1b,86050,londrina,PR
0241d4d5d36f10f80c644447315af0bd,80330,curitiba,PR
02f5837340d7eb4f653d676c7256523a,80620,curitiba,PR
06532f10282704ef4c69168b914b77be,87140,paincandu,PR
066a6914e1ebf3ea95a216c73a986b91,85863,foz do iguacu,PR
0691148aee60ca47977c187804f935ae,86010,londrina,PR
06df0c10d34e459d9672bc77388742eb,87045,maringa,PR
